Feature 1,Feature 2,Correlation
provider_medicaid,council_family,-0.01
mds_quality_code_404,Rating Cycle 3 Number of Standard Health Deficiencies,-0.01
ownership_for_profit_partnership,deficiency_tag_692,-0.01
ownership_non_profit_church,Number of Citations from Infection Control Inspections,-0.01
mds_quality_code_404,deficiency_tag_641,0.01
Rating Cycle 2 Health Revisit Score,council_family,-0.01
mds_quality_code_451,deficiency_tag_604,-0.01
long_stay_quality_rating_4,deficiency_tag_645,0.01
claims_quality_code_551,long_stay_quality_rating_3,0.01
ownership_for_profit_partnership,deficiency_tag_921,0.01
mds_quality_code_419,deficiency_tag_585,0.01
council_family,deficiency_tag_578,0.01
ownership_for_profit_individual,Rating Cycle 1 Number of Standard Health Deficiencies,0.01
ownership_non_profit_church,sprinklers_in_required_areas,0.01
severity_code_I,long_stay_quality_rating_3,0.01
deficiency_tag_550,long_stay_quality_rating_1,-0.01
Rating Cycle 1 Health Deficiency Score,council_family,-0.01
ownership_government_city_county,Number of Fines,-0.01
Rating Cycle 1 Number of Standard Health Deficiencies,sprinklers_in_required_areas,0.01
severity_code_I,ownership_for_profit_individual,-0.01
council_resident_and_family,short_stay_quality_rating_3,0.01
deficiency_tag_580,ownership_government_federal,-0.01
mds_quality_code_404,deficiency_tag_604,0.01
deficiency_tag_677,ownership_for_profit_partnership,0.01
council_family,claims_quality_code_522,-0.01
deficiency_tag_644,long_stay_quality_rating_3,-0.01
ownership_for_profit_partnership,ownership_government_federal,-0.01
short_stay_quality_rating_5,deficiency_tag_676,-0.01
mds_quality_code_407,severity_code_C,-0.01
deficiency_tag_761,sprinklers_in_required_areas,0.01
ownership_government_county,Rating Cycle 3 Health Revisit Score,-0.01
ownership_government_county,ownership_government_federal,-0.01
ownership_government_state,quality_rating_4,-0.01
Rating Cycle 2 Health Revisit Score,mds_quality_code_409,-0.01
mds_quality_code_452,mds_quality_code_451,-0.01
ownership_government_city_county,quality_rating_3,0.01
deficiency_tag_625,ownership_government_city_county,-0.01
short_stay_quality_rating_3,Rating Cycle 2 Health Deficiency Score,-0.01
months_since_approval,deficiency_tag_582,0.01
mds_quality_code_419,deficiency_tag_690,0.01
long_stay_quality_rating_3,ownership_non_profit_other,-0.01
severity_code_L,council_family,-0.01
severity_code_L,sprinklers_in_required_areas_partial,-0.01
short_stay_quality_rating_3,deficiency_tag_759,0.01
Rating Cycle 3 Number of Complaint Health Deficiencies,long_stay_quality_rating_2,-0.01
mds_quality_code_415,provider_changed_ownership_last_12_months,-0.01
mds_quality_code_407,sprinklers_in_required_areas_partial,0.01
ownership_government_state,deficiency_tag_760,-0.01
deficiency_tag_580,long_stay_quality_rating_2,0.01
mds_quality_code_480,short_stay_quality_rating_2,-0.01
deficiency_tag_925,short_stay_quality_rating_3,-0.01
mds_quality_code_479,deficiency_tag_881,-0.01
ownership_government_hospital_district,sprinklers_in_required_areas,0.01
quality_rating_2,ownership_government_federal,-0.01
provider_resides_in_hospital,severity_code_I,-0.01
deficiency_tag_755,sprinklers_in_required_areas_partial,0.01
mds_quality_code_401,deficiency_tag_609,-0.01
mds_quality_code_410,deficiency_tag_756,-0.01
deficiency_tag_641,ownership_for_profit_individual,0.01
ownership_non_profit_church,deficiency_tag_610,0.01
severity_code_H,ownership_government_city,-0.01
severity_code_H,ownership_government_city_county,-0.01
ownership_government_city_county,health_inspection_rating_4,-0.01
deficiency_tag_700,sprinklers_in_required_areas,-0.01
deficiency_tag_756,ownership_government_city,-0.01
severity_code_L,long_stay_quality_rating_4,0.01
provider_medicare_and_medicaid,ownership_government_city_county,0.01
provider_medicare,council_family,0.01
mds_quality_code_454,provider_medicare_and_medicaid,-0.01
ownership_non_profit_church,deficiency_tag_725,-0.01
long_stay_quality_rating_4,ownership_non_profit_other,-0.01
mds_quality_code_404,sprinklers_in_required_areas_partial,0.01
provider_changed_ownership_last_12_months,deficiency_tag_758,0.01
Rating Cycle 3 Health Deficiency Score,provider_changed_ownership_last_12_months,0.01
ownership_government_hospital_district,mds_quality_code_409,-0.01
provider_medicaid,deficiency_tag_676,-0.01
quality_rating_3,ownership_government_city,-0.01
ownership_government_state,mds_quality_code_406,0.01
mds_quality_code_409,Rating Cycle 1 Total Number of Health Deficiencies,-0.01
short_stay_quality_rating_5,ownership_government_city_county,0.01
mds_quality_code_407,provider_changed_ownership_last_12_months,-0.01
long_stay_quality_rating_4,short_stay_quality_rating_4,0.01
mds_quality_code_415,sprinklers_in_required_areas_partial,-0.01
Rating Cycle 3 Health Revisit Score,council_family,-0.01
deficiency_tag_908,mds_quality_code_451,-0.01
Rating Cycle 1 Number of Standard Health Deficiencies,claims_quality_code_522,-0.01
health_inspection_rating_5,sprinklers_in_required_areas,-0.01
quality_rating_1,severity_code_B,0.01
deficiency_tag_550,long_stay_quality_rating_2,-0.01
deficiency_tag_803,ownership_government_hospital_district,-0.01
severity_code_G,mds_quality_code_451,0.01
ownership_non_profit_church,sprinklers_in_required_areas_partial,-0.01
ownership_non_profit_church,council_family,-0.01
long_stay_quality_rating_4,deficiency_tag_578,0.01
deficiency_tag_697,ownership_government_city_county,0.01
severity_code_I,deficiency_tag_732,0.01
council_resident_and_family,deficiency_tag_693,-0.01
Rating Cycle 2 Number of Health Revisits,long_stay_quality_rating_4,0.01
special_focus_status_sff_candidate,ownership_government_federal,-0.01
long_stay_quality_rating_5,Rating Cycle 1 Total Number of Health Deficiencies,0.01
deficiency_tag_757,sprinklers_in_required_areas_partial,0.01
claims_quality_code_551,Rating Cycle 1 Health Revisit Score,0.01
quality_rating_3,sprinklers_in_required_areas_partial,-0.01
quality_rating_4,deficiency_tag_558,-0.01
mds_quality_code_434,deficiency_tag_554,0.01
short_stay_quality_rating_1,deficiency_tag_756,0.01
short_stay_quality_rating_3,deficiency_tag_693,0.01
deficiency_tag_625,ownership_government_federal,-0.01
short_stay_quality_rating_1,mds_quality_code_406,-0.01
Rating Cycle 2 Total Health Score,ownership_government_hospital_district,-0.01
most_recent_health_inspection_2plus_years_ago,deficiency_tag_919,-0.01
short_stay_quality_rating_3,deficiency_tag_814,-0.01
ownership_for_profit_partnership,mds_quality_code_434,-0.01
deficiency_tag_883,sprinklers_in_required_areas_partial,0.01
long_stay_quality_rating_1,ownership_for_profit_llc,0.01
deficiency_tag_804,short_stay_quality_rating_3,-0.01
health_inspection_rating_3,mds_quality_code_406,0.01
provider_changed_ownership_last_12_months,deficiency_tag_725,0.01
deficiency_tag_690,long_stay_quality_rating_3,0.01
deficiency_tag_641,long_stay_quality_rating_2,0.01
provider_changed_ownership_last_12_months,Rating Cycle 3 Number of Health Revisits,0.01
ownership_government_city_county,short_stay_quality_rating_2,-0.01
deficiency_tag_726,ownership_government_city_county,-0.01
ownership_for_profit_corporation,mds_quality_code_479,0.01
deficiency_tag_558,council_family,-0.01
long_stay_quality_rating_4,short_stay_quality_rating_2,-0.01
Number of Fines,mds_quality_code_452,-0.01
ownership_government_hospital_district,council_family,-0.01
sprinklers_in_required_areas_partial,ownership_government_hospital_district,-0.01
long_stay_quality_rating_3,deficiency_tag_676,-0.01
short_stay_quality_rating_1,mds_quality_code_409,-0.01
ownership_for_profit_partnership,deficiency_tag_641,0.01
special_focus_status_sff,mds_quality_code_409,-0.01
mds_quality_code_419,deficiency_tag_686,0.01
ownership_for_profit_partnership,deficiency_tag_558,-0.01
ownership_government_state,Rating Cycle 3 Health Revisit Score,-0.01
mds_quality_code_419,deficiency_tag_688,0.01
health_inspection_rating_2,quality_rating_3,-0.01
long_stay_quality_rating_4,deficiency_tag_756,0.01
mds_quality_code_406,ownership_government_hospital_district,0.01
council_resident_and_family,special_focus_status_sff_candidate,0.01
deficiency_tag_756,sprinklers_in_required_areas,-0.01
Rating Cycle 2 Health Deficiency Score,sprinklers_in_required_areas,-0.01
quality_rating_1,deficiency_tag_881,0.01
deficiency_tag_625,council_family,0.01
deficiency_tag_761,long_stay_quality_rating_3,0.01
health_inspection_rating_3,deficiency_tag_582,-0.01
short_stay_quality_rating_3,Number of administrators who have left the nursing home,0.01
long_stay_quality_rating_4,Rating Cycle 1 Total Health Score,0.01
Rating Cycle 1 Health Revisit Score,short_stay_quality_rating_4,-0.01
mds_quality_code_407,deficiency_tag_867,0.01
months_since_approval,ownership_government_city,-0.01
ownership_non_profit_other,ownership_government_federal,-0.01
long_stay_quality_rating_2,deficiency_tag_692,-0.01
provider_changed_ownership_last_12_months,deficiency_tag_693,0.01
deficiency_tag_610,ownership_government_city_county,-0.01
ownership_government_state,most_recent_health_inspection_2plus_years_ago,0.01
deficiency_tag_609,sprinklers_in_required_areas,-0.01
deficiency_tag_693,sprinklers_in_required_areas,-0.01
ownership_for_profit_individual,sprinklers_in_required_areas,-0.01
deficiency_tag_658,sprinklers_in_required_areas_partial,-0.01
council_resident_and_family,ownership_government_city_county,-0.01
mds_quality_code_454,short_stay_quality_rating_3,0.01
mds_quality_code_419,deficiency_tag_684,0.01
deficiency_tag_582,short_stay_quality_rating_3,0.01
deficiency_tag_919,long_stay_quality_rating_3,-0.01
severity_code_I,mds_quality_code_404,0.01
long_stay_quality_rating_2,Rating Cycle 1 Total Health Score,0.01
mds_quality_code_410,health_inspection_rating_5,0.01
ownership_government_county,severity_code_G,-0.01
claims_quality_code_521,sprinklers_in_required_areas_partial,0.01
sprinklers_in_required_areas_partial,Rating Cycle 1 Number of Standard Health Deficiencies,-0.01
Rating Cycle 3 Total Number of Health Deficiencies,ownership_government_city_county,-0.01
long_stay_quality_rating_2,deficiency_tag_684,-0.01
severity_code_B,severity_code_J,-0.01
deficiency_tag_690,ownership_government_hospital_district,-0.01
short_stay_quality_rating_1,sprinklers_in_required_areas_partial,-0.01
ownership_government_city_county,deficiency_tag_655,0.01
continuing_care_retirement_community,sprinklers_in_required_areas,0.01
dollars_per_fine_count,ownership_government_hospital_district,0.01
special_focus_status_sff_candidate,short_stay_quality_rating_3,-0.01
Rating Cycle 1 Number of Health Revisits,council_family,0.01
severity_code_L,mds_quality_code_480,-0.01
deficiency_tag_692,ownership_government_federal,-0.01
short_stay_quality_rating_1,Rating Cycle 3 Health Revisit Score,0.01
deficiency_tag_760,mds_quality_code_409,-0.01
long_stay_quality_rating_5,Rating Cycle 1 Number of Health Revisits,-0.01
provider_resides_in_hospital,deficiency_tag_756,-0.01
mds_quality_code_419,mds_quality_code_480,-0.01
Rating Cycle 1 Total Health Score,mds_quality_code_451,0.01
provider_changed_ownership_last_12_months,deficiency_tag_604,0.01
long_stay_quality_rating_2,ownership_for_profit_individual,0.01
provider_medicare,most_recent_health_inspection_2plus_years_ago,-0.01
Total Number of Penalties,quality_rating_3,0.01
deficiency_tag_610,sprinklers_in_required_areas_partial,-0.01
Total Amount of Fines in Dollars,sprinklers_in_required_areas,0.01
mds_quality_code_479,severity_code_C,0.01
mds_quality_code_404,ownership_government_city_county,-0.01
ownership_government_city_county,deficiency_tag_686,-0.01
short_stay_quality_rating_3,deficiency_tag_919,-0.01
ownership_government_hospital_district,deficiency_tag_676,-0.01
mds_quality_code_452,short_stay_quality_rating_2,0.01
short_stay_quality_rating_3,deficiency_tag_578,-0.01
provider_resides_in_hospital,mds_quality_code_452,0.01
quality_rating_2,deficiency_tag_561,-0.01
provider_changed_ownership_last_12_months,short_stay_quality_rating_2,0.01
Rating Cycle 3 Number of Health Revisits,sprinklers_in_required_areas,-0.01
provider_changed_ownership_last_12_months,sprinklers_in_required_areas,0.01
health_inspection_rating_4,mds_quality_code_409,0.01
months_since_approval,severity_code_H,-0.01
long_stay_quality_rating_3,Rating Cycle 1 Number of Standard Health Deficiencies,-0.01
long_stay_quality_rating_4,deficiency_tag_658,0.01
long_stay_quality_rating_5,Rating Cycle 2 Number of Standard Health Deficiencies,0.01
short_stay_quality_rating_3,severity_code_C,-0.01
deficiency_tag_804,long_stay_quality_rating_4,0.01
Number of Fines,mds_quality_code_409,0.01
council_resident_and_family,long_stay_quality_rating_3,-0.01
deficiency_tag_641,mds_quality_code_406,0.01
ownership_government_city_county,deficiency_tag_580,-0.01
deficiency_tag_686,long_stay_quality_rating_3,0.01
quality_rating_5,ownership_non_profit_other,-0.01
most_recent_health_inspection_2plus_years_ago,deficiency_tag_641,0.01
provider_changed_ownership_last_12_months,deficiency_tag_686,0.01
Rating Cycle 2 Health Revisit Score,ownership_government_federal,-0.01
long_stay_quality_rating_2,severity_code_E,0.01
ownership_government_hospital_district,deficiency_tag_759,-0.01
long_stay_quality_rating_1,mds_quality_code_409,0.01
short_stay_quality_rating_1,deficiency_tag_582,-0.01
severity_code_F,sprinklers_in_required_areas,-0.01
Rating Cycle 1 Health Revisit Score,mds_quality_code_406,-0.01
council_resident_and_family,health_inspection_rating_3,-0.01
deficiency_tag_690,long_stay_quality_rating_2,-0.01
Rating Cycle 1 Health Revisit Score,short_stay_quality_rating_3,-0.01
ownership_non_profit_church,severity_code_L,-0.01
Number of Fines,long_stay_quality_rating_2,-0.01
deficiency_tag_550,short_stay_quality_rating_3,0.01
severity_code_F,quality_rating_3,0.01
Rating Cycle 1 Number of Health Revisits,mds_quality_code_409,0.01
provider_changed_ownership_last_12_months,deficiency_tag_698,-0.01
deficiency_tag_919,provider_changed_ownership_last_12_months,0.01
ownership_government_city_county,deficiency_tag_725,-0.01
long_stay_quality_rating_5,council_family,0.01
severity_code_I,deficiency_tag_623,0.01
severity_code_B,ownership_government_city_county,0.01
deficiency_tag_698,ownership_government_federal,-0.01
special_focus_status_sff,deficiency_tag_700,0.01
long_stay_quality_rating_2,Rating Cycle 2 Health Deficiency Score,-0.01
Rating Cycle 2 Number of Complaint Health Deficiencies,long_stay_quality_rating_3,0.01
ownership_government_county,deficiency_tag_867,-0.01
long_stay_quality_rating_4,deficiency_tag_604,0.01
deficiency_tag_732,long_stay_quality_rating_3,0.01
health_inspection_rating_3,short_stay_quality_rating_3,-0.01
short_stay_quality_rating_4,ownership_for_profit_individual,-0.01
severity_code_L,ownership_government_federal,-0.01
Rating Cycle 2 Total Health Score,long_stay_quality_rating_2,-0.01
severity_code_B,mds_quality_code_451,0.01
health_inspection_rating_3,deficiency_tag_604,-0.01
long_stay_quality_rating_1,Rating Cycle 3 Number of Standard Health Deficiencies,-0.01
short_stay_quality_rating_1,mds_quality_code_480,0.01
long_stay_quality_rating_3,ownership_government_federal,-0.01
health_inspection_rating_3,deficiency_tag_688,-0.01
severity_code_L,long_stay_quality_rating_2,-0.01
deficiency_tag_693,long_stay_quality_rating_3,-0.01
council_family,Rating Cycle 3 Number of Health Revisits,0.01
provider_changed_ownership_last_12_months,council_family,-0.01
provider_changed_ownership_last_12_months,sprinklers_in_required_areas_partial,-0.01
mds_quality_code_479,special_focus_status_sff_candidate,0.01
deficiency_tag_908,provider_medicaid,-0.01
ownership_non_profit_church,Number of Fines,0.01
mds_quality_code_415,long_stay_quality_rating_3,0.01
quality_rating_1,ownership_government_city,0.01
mds_quality_code_410,deficiency_tag_700,-0.01
provider_resides_in_hospital,mds_quality_code_410,-0.01
long_stay_quality_rating_5,deficiency_tag_692,-0.01
ownership_government_city_county,deficiency_tag_644,-0.01
mds_quality_code_406,deficiency_tag_686,-0.01
deficiency_tag_908,quality_rating_3,0.01
Rating Cycle 3 Health Revisit Score,ownership_government_federal,-0.01
ownership_for_profit_llc,deficiency_tag_676,0.01
deficiency_tag_727,ownership_government_hospital_district,0.01
ownership_non_profit_church,ownership_government_federal,-0.01
mds_quality_code_419,short_stay_quality_rating_2,0.01
long_stay_quality_rating_4,deficiency_tag_919,0.01
quality_rating_3,mds_quality_code_415,0.01
deficiency_tag_583,ownership_government_city,-0.01
mds_quality_code_434,deficiency_tag_806,0.01
ownership_for_profit_corporation,health_inspection_rating_3,-0.01
deficiency_tag_677,mds_quality_code_451,0.01
long_stay_quality_rating_4,mds_quality_code_472,0.01
deficiency_tag_757,long_stay_quality_rating_2,-0.01
provider_medicare_and_medicaid,ownership_government_federal,-0.01
council_family,deficiency_tag_758,0.01
council_resident_and_family,mds_quality_code_479,-0.01
sprinklers_in_required_areas_partial,short_stay_quality_rating_2,0.01
mds_quality_code_401,health_inspection_rating_1,-0.01
ownership_government_state,council_family,-0.01
short_stay_quality_rating_3,deficiency_tag_584,-0.01
deficiency_tag_585,council_family,-0.01
deficiency_tag_585,sprinklers_in_required_areas_partial,-0.01
council_family,Rating Cycle 1 Total Number of Health Deficiencies,0.01
claims_quality_code_551,mds_quality_code_410,-0.01
deficiency_tag_689,ownership_government_federal,0.01
sprinklers_in_required_areas_partial,severity_code_E,-0.01
mds_quality_code_404,deficiency_tag_908,0.01
quality_rating_4,Rating Cycle 3 Number of Health Revisits,0.01
severity_code_B,ownership_for_profit_corporation,0.01
Rating Cycle 1 Health Revisit Score,ownership_government_federal,-0.01
council_resident,mds_quality_code_451,0.01
deficiency_tag_867,mds_quality_code_409,0.01
Rating Cycle 1 Number of Complaint Health Deficiencies,ownership_government_federal,-0.01
deficiency_tag_582,ownership_government_city_county,0.01
short_stay_quality_rating_2,deficiency_tag_881,0.01
ownership_for_profit_partnership,deficiency_tag_700,-0.01
ownership_government_hospital_district,ownership_government_federal,-0.01
Rating Cycle 2 Number of Health Revisits,mds_quality_code_480,-0.01
mds_quality_code_406,mds_quality_code_480,0.01
claims_quality_code_551,severity_code_C,0.01
quality_rating_1,long_stay_quality_rating_2,-0.01
Rating Cycle 1 Number of Health Revisits,short_stay_quality_rating_3,-0.01
mds_quality_code_479,Rating Cycle 3 Number of Health Revisits,-0.01
deficiency_tag_657,mds_quality_code_409,-0.01
mds_quality_code_410,short_stay_quality_rating_3,-0.01
severity_code_C,sprinklers_in_required_areas,-0.01
deficiency_tag_804,sprinklers_in_required_areas,0.01
long_stay_quality_rating_4,deficiency_tag_698,-0.01
deficiency_tag_610,mds_quality_code_407,-0.01
ownership_government_state,deficiency_tag_867,-0.01
severity_code_K,deficiency_tag_582,0.01
deficiency_tag_697,ownership_government_federal,-0.01
short_stay_quality_rating_3,ownership_government_hospital_district,-0.01
health_inspection_rating_2,long_stay_quality_rating_4,0.01
mds_quality_code_419,deficiency_tag_645,0.01
severity_code_B,short_stay_quality_rating_4,0.01
council_family,deficiency_tag_867,0.01
ownership_government_county,deficiency_tag_679,0.01
short_stay_quality_rating_4,deficiency_tag_604,0.01
deficiency_tag_582,long_stay_quality_rating_2,-0.01
short_stay_quality_rating_3,Number of Fines,-0.01
quality_rating_2,ownership_non_profit_other,0.01
claims_quality_code_551,severity_code_H,0.01
mds_quality_code_404,ownership_for_profit_llc,0.01
claims_quality_code_551,deficiency_tag_658,-0.01
months_since_approval,deficiency_tag_726,-0.01
quality_rating_1,deficiency_tag_585,0.01
provider_resides_in_hospital,deficiency_tag_693,0.01
long_stay_quality_rating_3,deficiency_tag_700,0.01
provider_changed_ownership_last_12_months,Number of Payment Denials,-0.01
mds_quality_code_452,deficiency_tag_759,0.01
mds_quality_code_404,Rating Cycle 3 Health Revisit Score,0.01
sprinklers_in_required_areas_partial,deficiency_tag_812,0.01
short_stay_quality_rating_3,abuse_icon,0.01
mds_quality_code_409,mds_quality_code_451,0.01
severity_code_B,mds_quality_code_408,0.01
deficiency_tag_561,sprinklers_in_required_areas,0.01
ownership_for_profit_corporation,long_stay_quality_rating_3,0.01
council_resident_and_family,deficiency_tag_842,-0.01
deficiency_tag_657,ownership_government_hospital_district,-0.01
deficiency_tag_550,sprinklers_in_required_areas,0.01
council_resident_and_family,ownership_non_profit_church,-0.01
long_stay_quality_rating_2,Rating Cycle 3 Total Health Score,-0.01
short_stay_quality_rating_3,Rating Cycle 1 Total Health Score,0.01
health_inspection_rating_2,long_stay_quality_rating_3,-0.01
Rating Cycle 1 Number of Health Revisits,ownership_government_federal,0.01
short_stay_quality_rating_4,long_stay_quality_rating_3,-0.01
ownership_for_profit_partnership,Rating Cycle 3 Total Health Score,0.01
ownership_for_profit_partnership,deficiency_tag_881,-0.01
Rating Cycle 2 Number of Health Revisits,mds_quality_code_409,-0.01
deficiency_tag_908,ownership_government_city_county,0.01
quality_rating_1,deficiency_tag_756,0.01
ownership_government_city,long_stay_quality_rating_2,-0.01
health_inspection_rating_1,sprinklers_in_required_areas,0.01
Rating Cycle 2 Total Health Score,sprinklers_in_required_areas,-0.01
ownership_non_profit_church,deficiency_tag_690,-0.01
ownership_government_county,Number of Payment Denials,-0.01
quality_rating_2,deficiency_tag_636,-0.01
quality_rating_3,severity_code_C,0.01
claims_quality_code_551,deficiency_tag_883,-0.01
quality_rating_4,health_inspection_rating_4,0.01
ownership_government_city_county,severity_code_G,-0.01
deficiency_tag_583,sprinklers_in_required_areas_partial,0.01
deficiency_tag_583,council_family,0.01
deficiency_tag_727,council_family,-0.01
claims_quality_code_551,deficiency_tag_636,0.01
deficiency_tag_641,sprinklers_in_required_areas,0.01
Rating Cycle 2 Health Revisit Score,mds_quality_code_406,-0.01
severity_code_I,ownership_government_county,-0.01
deficiency_tag_655,long_stay_quality_rating_3,-0.01
ownership_for_profit_partnership,deficiency_tag_812,-0.01
deficiency_tag_645,sprinklers_in_required_areas_partial,0.01
quality_rating_5,mds_quality_code_408,0.01
deficiency_tag_656,ownership_government_federal,-0.01
health_inspection_rating_3,ownership_for_profit_llc,-0.01
quality_rating_1,deficiency_tag_755,-0.01
Rating Cycle 2 Number of Complaint Health Deficiencies,sprinklers_in_required_areas,0.01
mds_quality_code_410,provider_medicaid,-0.01
long_stay_quality_rating_4,severity_code_D,0.01
severity_code_I,mds_quality_code_407,-0.01
Total Amount of Fines in Dollars,sprinklers_in_required_areas_partial,-0.01
mds_quality_code_401,deficiency_tag_554,-0.01
deficiency_tag_644,council_family,-0.01
deficiency_tag_658,mds_quality_code_409,-0.01
health_inspection_rating_1,mds_quality_code_451,-0.01
sprinklers_in_required_areas_partial,mds_quality_code_472,-0.01
short_stay_quality_rating_5,health_inspection_rating_3,0.01
ownership_government_state,long_stay_quality_rating_1,-0.01
deficiency_tag_803,long_stay_quality_rating_4,-0.01
ownership_for_profit_corporation,quality_rating_3,0.01
ownership_government_city,health_inspection_rating_5,0.01
mds_quality_code_410,provider_changed_ownership_last_12_months,0.01
severity_code_H,sprinklers_in_required_areas,0.01
deficiency_tag_803,ownership_government_federal,-0.01
deficiency_tag_908,provider_changed_ownership_last_12_months,-0.01
quality_rating_1,deficiency_tag_578,0.01
ownership_non_profit_church,deficiency_tag_582,0.01
deficiency_tag_561,long_stay_quality_rating_1,-0.01
months_since_approval,deficiency_tag_919,0.01
deficiency_tag_645,council_family,-0.01
mds_quality_code_452,deficiency_tag_700,-0.01
severity_code_D,ownership_government_federal,-0.01
council_family,deficiency_tag_692,-0.01
deficiency_tag_761,long_stay_quality_rating_2,-0.01
special_focus_status_sff,ownership_for_profit_individual,-0.01
Rating Cycle 2 Health Deficiency Score,ownership_government_hospital_district,-0.01
deficiency_tag_880,long_stay_quality_rating_2,0.01
dollars_per_fine_count,mds_quality_code_451,0.01
deficiency_tag_693,ownership_government_federal,-0.01
Rating Cycle 2 Total Number of Health Deficiencies,sprinklers_in_required_areas,0.01
short_stay_quality_rating_3,deficiency_tag_580,0.01
deficiency_tag_726,mds_quality_code_409,0.01
deficiency_tag_658,short_stay_quality_rating_4,0.01
deficiency_tag_582,mds_quality_code_406,0.01
Rating Cycle 3 Number of Health Revisits,ownership_government_federal,0.01
provider_changed_ownership_last_12_months,ownership_government_federal,-0.01
continuing_care_retirement_community,sprinklers_in_required_areas_partial,-0.01
deficiency_tag_625,long_stay_quality_rating_4,-0.01
short_stay_quality_rating_1,deficiency_tag_881,-0.01
deficiency_tag_757,continuing_care_retirement_community,-0.01
quality_rating_4,mds_quality_code_409,-0.01
quality_rating_4,deficiency_tag_561,0.01
mds_quality_code_419,council_resident,0.01
deficiency_tag_726,provider_changed_ownership_last_12_months,-0.01
short_stay_quality_rating_3,deficiency_tag_554,0.01
claims_quality_code_552,ownership_non_profit_other,-0.01
Rating Cycle 3 Health Deficiency Score,long_stay_quality_rating_2,-0.01
council_family,mds_quality_code_408,-0.01
ownership_non_profit_church,quality_rating_2,-0.01
quality_rating_4,deficiency_tag_881,-0.01
severity_code_L,mds_quality_code_452,0.01
council_resident_and_family,ownership_for_profit_individual,0.01
ownership_non_profit_church,quality_rating_3,0.01
severity_code_H,sprinklers_in_required_areas_partial,-0.01
severity_code_H,council_family,-0.01
mds_quality_code_480,abuse_icon,-0.01
months_since_approval,deficiency_tag_689,0.01
long_stay_quality_rating_2,Rating Cycle 1 Number of Standard Health Deficiencies,-0.01
mds_quality_code_406,deficiency_tag_580,-0.01
deficiency_tag_757,sprinklers_in_required_areas,-0.01
sprinklers_in_required_areas_partial,deficiency_tag_644,0.01
ownership_government_city,long_stay_quality_rating_3,-0.01
deficiency_tag_757,most_recent_health_inspection_2plus_years_ago,0.01
mds_quality_code_419,deficiency_tag_908,0.01
long_stay_quality_rating_4,deficiency_tag_806,0.01
long_stay_quality_rating_4,health_inspection_rating_1,0.01
quality_rating_1,deficiency_tag_806,0.01
short_stay_quality_rating_3,Rating Cycle 3 Number of Standard Health Deficiencies,0.01
ownership_government_state,ownership_government_federal,-0.01
ownership_government_city,special_focus_status_sff,-0.01
ownership_government_city_county,special_focus_status_sff,-0.01
health_inspection_rating_3,mds_quality_code_479,-0.01
short_stay_quality_rating_4,Rating Cycle 1 Number of Standard Health Deficiencies,0.01
Rating Cycle 1 Health Revisit Score,council_family,0.01
short_stay_quality_rating_3,deficiency_tag_676,-0.01
severity_code_I,ownership_non_profit_other,-0.01
Total Amount of Fines in Dollars,mds_quality_code_480,0.01
mds_quality_code_452,Number of Citations from Infection Control Inspections,-0.01
deficiency_tag_880,long_stay_quality_rating_3,0.01
mds_quality_code_401,special_focus_status_sff,0.01
severity_code_H,ownership_non_profit_other,-0.01
deficiency_tag_677,long_stay_quality_rating_2,0.01
deficiency_tag_812,sprinklers_in_required_areas,-0.01
ownership_government_state,Rating Cycle 2 Number of Health Revisits,-0.01
ownership_government_county,claims_quality_code_522,-0.01
deficiency_tag_676,ownership_for_profit_individual,-0.01
quality_rating_3,mds_quality_code_408,0.01
mds_quality_code_407,quality_rating_3,0.01
provider_changed_ownership_last_12_months,deficiency_tag_700,-0.01
deficiency_tag_919,long_stay_quality_rating_2,-0.01
mds_quality_code_479,deficiency_tag_925,0.01
quality_rating_4,ownership_for_profit_individual,-0.01
mds_quality_code_406,severity_code_C,0.01
mds_quality_code_401,health_inspection_rating_5,-0.01
ownership_for_profit_partnership,long_stay_quality_rating_2,-0.01
Rating Cycle 3 Total Number of Health Deficiencies,ownership_for_profit_individual,0.01
Rating Cycle 3 Health Revisit Score,mds_quality_code_401,0.01
deficiency_tag_610,provider_changed_ownership_last_12_months,0.01
mds_quality_code_479,deficiency_tag_700,0.01
mds_quality_code_404,deficiency_tag_636,-0.01
deficiency_tag_883,sprinklers_in_required_areas,-0.01
severity_code_I,short_stay_quality_rating_5,-0.01
health_inspection_rating_2,ownership_government_city_county,0.01
severity_code_I,deficiency_tag_806,0.01
deficiency_tag_695,council_family,-0.01
Total Number of Penalties,ownership_government_hospital_district,-0.01
deficiency_tag_656,mds_quality_code_409,-0.01
ownership_for_profit_partnership,quality_rating_3,-0.01
severity_code_I,short_stay_quality_rating_3,-0.01
council_resident_and_family,mds_quality_code_419,0.01
sprinklers_in_required_areas_partial,mds_quality_code_408,0.01
ownership_government_city_county,deficiency_tag_692,-0.01
quality_rating_1,Number of Citations from Infection Control Inspections,0.01
Rating Cycle 1 Health Revisit Score,claims_quality_code_522,-0.01
Rating Cycle 1 Health Deficiency Score,ownership_government_federal,0.01
mds_quality_code_404,deficiency_tag_814,0.01
long_stay_quality_rating_1,Number of administrators who have left the nursing home,0.01
long_stay_quality_rating_4,Rating Cycle 2 Number of Complaint Health Deficiencies,-0.01
